189031474|0.150|6.0|0|23.5|26.3|371.8
189043974|0.150|6.0|0|23.8|25.9|371.5
189056474|0.150|6.0|0|23.7|23.1|373.4
189068974|0.150|6.0|0|23.4|21.9|373.1
189081474|0.150|6.0|0|23.6|24.4|371.8
189093974|0.150|6.0|0|23.9|25.4|372.2
189106474|0.150|6.0|0|23.6|22.2|373.8
189118974|0.150|6.0|0|23.1|20.6|374.0
189131474|0.150|6.0|0|23.4|24.6|371.8
189143974|0.150|6.0|0|23.7|25.3|371.9
189156474|0.150|6.0|0|23.5|22.9|373.8
189168974|0.150|6.0|0|23.2|21.0|373.9
189181474|0.150|6.0|0|23.4|24.6|371.8
189193974|0.150|6.0|0|23.6|24.9|372.2
189206474|0.150|6.0|0|23.5|23.1|373.6
189218974|0.150|6.0|0|23.1|20.8|373.9
189231474|0.150|6.0|0|23.4|25.3|371.6
189243974|0.150|6.0|0|23.7|25.4|372.2
189256474|0.150|6.0|0|23.7|23.6|373.6
189268974|0.150|6.0|0|23.4|21.4|373.7
189281474|0.150|6.0|0|23.5|24.6|372.3
189293974|0.150|6.0|0|24.0|26.7|370.6
189306474|0.150|6.0|0|23.8|22.6|374.2
189318974|0.150|6.0|0|23.3|20.8|374.2
189331474|0.150|6.0|0|23.4|23.5|372.5
189343974|0.150|6.0|0|23.7|25.6|371.9
189356474|0.150|6.0|0|23.6|22.7|373.9
189368974|0.150|6.0|0|23.4|22.4|373.4
189381474|0.150|6.0|0|23.7|25.4|371.9
189393974|0.150|6.0|0|24.0|25.7|371.9
189406474|0.150|6.0|0|23.9|23.6|373.1
189418974|0.150|6.0|0|23.5|21.2|374.3
189431474|0.150|6.0|0|23.6|24.4|372.3
189443974|0.150|6.0|0|23.9|25.6|372.1
189456474|0.150|6.0|0|23.8|23.2|373.8
189468974|0.150|6.0|0|23.2|19.9|374.3
189481474|0.150|6.0|0|23.4|24.3|372.3
189493974|0.150|6.0|0|23.7|25.4|371.8
189506474|0.150|6.0|0|23.5|22.8|374.4
189518974|0.150|6.0|0|23.0|19.8|375.0
189531474|0.150|6.0|0|23.3|24.9|372.2
189543974|0.150|6.0|0|23.7|26.3|371.8
189556474|0.150|6.0|0|23.7|23.4|373.9
189568974|0.150|6.0|0|23.4|21.6|373.7
189581474|0.150|6.0|0|23.6|24.8|372.0
189593974|0.150|6.0|0|23.8|25.4|372.0
189606474|0.150|6.0|0|23.7|22.9|373.7
189618974|0.150|6.0|0|23.3|20.8|374.3
189631474|0.150|6.0|0|23.4|23.9|372.7
189643974|0.150|6.0|0|23.8|26.4|371.7
189656474|0.150|6.0|0|23.7|22.9|374.4
189668974|0.150|6.0|0|23.4|21.8|373.9
189681474|0.150|6.0|0|23.6|24.8|372.5
189693974|0.150|6.0|0|24.1|26.6|372.2
189706474|0.150|6.0|0|24.0|23.6|374.1
189718974|0.150|6.0|0|23.6|21.1|374.4
189731474|0.150|6.0|0|23.6|24.1|372.4
189743974|0.150|6.0|0|24.0|26.2|372.1
189756474|0.150|6.0|0|23.9|23.0|373.8
189768974|0.150|6.0|0|23.4|20.7|374.1
189781474|0.150|6.0|0|23.5|24.1|372.6
189793974|0.150|6.0|0|23.9|25.9|371.9
189806474|0.150|6.0|0|23.7|23.1|373.9
189818974|0.150|6.0|0|23.4|21.3|373.8
189831474|0.150|6.0|0|23.3|23.1|373.1
189843974|0.150|6.0|0|23.8|26.2|371.9
189856474|0.150|6.0|0|23.8|24.1|373.1
189868974|0.150|6.0|0|23.3|20.1|374.2
189881474|0.150|6.0|0|23.4|24.0|372.4
189893974|0.150|6.0|0|23.6|25.3|372.3
189906474|0.150|6.0|0|23.5|23.0|374.0
189918974|0.150|6.0|0|23.0|20.1|374.9
189931474|0.150|6.0|0|23.2|23.9|372.4
189943974|0.150|6.0|0|23.5|25.6|372.4
189956474|0.150|6.0|0|23.5|23.3|373.9
189968974|0.150|6.0|0|23.2|21.3|374.0
189981474|0.150|6.0|0|23.4|24.5|372.6
189993974|0.150|6.0|0|23.7|25.6|372.0
190006474|0.150|6.0|0|23.6|23.4|374.0
190018974|0.150|6.0|0|23.3|21.1|374.4
190031474|0.150|6.0|0|23.4|24.3|372.8
190043974|0.150|6.0|0|23.8|25.9|371.9
190056474|0.150|6.0|0|23.7|23.4|373.6
190068974|0.150|6.0|0|23.3|21.1|373.9
190081474|0.150|6.0|0|23.5|24.8|372.1
190093974|0.150|6.0|0|23.9|25.9|371.9
190106474|0.150|6.0|0|23.8|22.9|374.0
190118974|0.150|6.0|0|23.2|20.0|374.7
190131474|0.150|6.0|0|23.2|23.3|372.8
190143974|0.150|6.0|0|23.6|25.6|372.4
190156474|0.150|6.0|0|23.5|23.5|373.9
190168974|0.150|6.0|0|23.0|20.2|374.6
190181474|0.150|6.0|0|23.1|23.6|373.1
190193974|0.150|6.0|0|23.4|25.3|372.3
190206474|0.150|6.0|0|23.4|23.3|373.9
190218974|0.150|6.0|0|23.0|20.6|374.5
190231474|0.150|6.0|0|23.0|23.3|372.7
190243974|0.150|6.0|0|23.5|25.8|372.3
190256474|0.150|6.0|0|23.5|23.9|372.9
190268974|0.150|6.0|0|23.2|21.4|373.8
190281474|0.150|6.0|0|23.3|24.1|372.3
190293974|0.150|6.0|0|23.7|25.6|372.1
190306474|0.150|6.0|0|23.5|22.8|374.0
190318974|0.150|6.0|0|23.1|20.6|374.5
190331474|0.150|6.0|0|23.2|23.9|372.3
190343974|0.150|6.0|0|23.6|25.8|371.8
190356474|0.150|6.0|0|23.6|23.7|373.5
190368974|0.150|6.0|0|23.3|21.3|373.9
190381474|0.150|6.0|0|23.4|23.9|372.8
190393974|0.150|6.0|0|23.6|25.1|372.1
190406474|0.150|6.0|0|23.6|23.8|373.3
190418974|0.150|6.0|0|23.2|20.8|374.4
190431474|0.150|6.0|0|23.4|24.6|372.3
190443974|0.150|6.0|0|23.8|25.9|371.9
190456474|0.150|6.0|0|23.9|24.3|373.1
190468974|0.150|6.0|0|23.4|20.6|374.6
190481474|0.150|6.0|0|23.5|24.3|372.6
190493974|0.150|6.0|0|23.8|25.3|372.2
190506474|0.150|6.0|0|23.6|22.6|374.2
190518974|0.150|6.0|0|23.1|20.2|374.6
190531474|0.150|6.0|0|23.2|23.9|372.1
190543974|0.150|6.0|0|23.6|25.6|372.2
190556474|0.150|6.0|0|23.5|23.2|373.8
190568974|0.150|6.0|0|23.1|20.9|374.0
190581474|0.150|6.0|0|23.2|23.8|372.4
190593974|0.150|6.0|0|23.6|25.6|371.8
190606474|0.150|6.0|0|23.7|24.4|373.3
190618974|0.150|6.0|0|23.3|20.9|374.8
190631474|0.150|6.0|0|23.2|22.8|373.3
190643974|0.150|6.0|0|23.6|26.2|371.4
190656474|0.150|6.0|0|23.7|24.1|373.8
190668974|0.150|6.0|0|23.3|21.3|373.9
190681474|0.150|6.0|0|23.5|24.3|372.4
190693974|0.150|6.0|0|23.7|25.1|371.8
190706474|0.150|6.0|0|23.7|23.5|373.8
190718974|0.150|6.0|0|23.3|21.4|374.4
190731474|0.150|6.0|0|23.3|22.9|373.0
190743974|0.150|6.0|0|23.6|25.1|371.8
190756474|0.150|6.0|0|23.6|23.7|373.7
190768974|0.150|6.0|0|23.2|21.3|374.1
190781474|0.150|6.0|0|23.4|24.5|372.1
190793974|0.150|6.0|0|23.8|26.0|371.9
190806474|0.150|6.0|0|23.7|23.3|373.8
190818974|0.150|6.0|0|23.3|20.6|374.8
190831474|0.150|6.0|0|23.3|23.7|373.0
190843974|0.150|6.0|0|23.7|26.1|371.6
190856474|0.150|6.0|0|23.7|23.6|373.6
190868974|0.150|6.0|0|23.3|20.9|374.0
190881474|0.150|6.0|0|23.2|22.8|373.1
190893974|0.150|6.0|0|23.6|25.6|371.8
190906474|0.150|6.0|0|23.6|23.9|373.7
190918974|0.150|6.0|0|23.2|20.9|374.1
190931474|0.150|6.0|0|23.2|23.1|372.8
190943974|0.150|6.0|0|23.6|25.7|372.3
190956474|0.150|6.0|0|23.5|23.1|374.1
190968974|0.150|6.0|0|23.1|21.1|374.1
190981474|0.150|6.0|0|23.2|23.5|372.9
190993974|0.150|6.0|0|23.6|25.6|371.9
191006474|0.150|6.0|0|23.6|23.7|373.6
191018974|0.150|6.0|0|23.1|20.6|374.6
191031474|0.150|6.0|0|23.2|23.8|372.6
191043974|0.150|6.0|0|23.5|25.0|372.1
191056474|0.150|6.0|0|23.5|23.2|373.5
191068974|0.150|6.0|0|23.1|20.9|374.4
191081474|0.150|6.0|0|23.1|23.1|373.0
191093974|0.150|6.0|0|23.5|25.9|371.4
191106474|0.150|6.0|0|23.5|23.4|373.7
191118974|0.150|6.0|0|23.0|20.2|374.8
191131474|0.150|6.0|0|22.9|22.6|373.5
191143974|0.150|6.0|0|23.3|25.1|372.5
191156474|0.150|6.0|0|23.3|23.3|374.2
191168974|0.150|6.0|0|23.0|21.4|373.8
191181474|0.150|6.0|0|23.1|24.0|372.8
191193974|0.150|6.0|0|23.4|25.2|371.9
191206474|0.150|6.0|0|23.4|23.2|373.8
191218974|0.150|6.0|0|22.8|19.6|374.9
191231474|0.150|6.0|0|23.0|23.7|372.8
191243974|0.150|6.0|0|23.4|26.1|371.9
191256474|0.150|6.0|0|23.3|22.7|374.2
191268974|0.150|6.0|0|23.0|20.9|374.4
191281474|0.150|6.0|0|23.1|23.8|372.9
191293974|0.150|6.0|0|23.5|26.1|371.6
191306474|0.150|6.0|0|23.5|23.1|374.0
191318974|0.150|6.0|0|22.9|19.6|374.9
191331474|0.150|6.0|0|23.1|24.0|372.5
191343974|0.150|6.0|0|23.6|26.3|371.4
191356474|0.150|6.0|0|23.5|23.1|374.3
191368974|0.150|6.0|0|23.2|21.6|373.9
191381474|0.150|6.0|0|23.2|23.4|373.3
191393974|0.150|6.0|0|23.5|25.2|372.3
191406474|0.150|6.0|0|23.5|23.6|373.8
191418974|0.150|6.0|0|23.1|20.4|374.6
191431474|0.150|6.0|0|23.0|22.8|373.1
191443974|0.150|6.0|0|23.4|25.3|371.9
191456474|0.150|6.0|0|23.3|22.9|374.1
191468974|0.150|6.0|0|22.9|20.5|374.2
191481474|0.150|6.0|0|23.0|23.8|372.8
191493974|0.150|6.0|0|23.5|25.9|371.7
191506474|0.150|6.0|0|23.4|22.8|374.2
191518974|0.150|6.0|0|22.9|20.3|374.9
191531474|0.150|6.0|0|22.9|23.1|372.8
191543974|0.150|6.0|0|23.4|26.3|371.5
191556474|0.150|6.0|0|23.4|23.3|374.1
191568974|0.150|6.0|0|23.0|20.5|374.2
191581474|0.150|6.0|0|23.0|23.3|372.6
191593974|0.150|6.0|0|23.4|25.7|372.0
191606474|0.150|6.0|0|23.6|24.4|373.8
191618974|0.150|6.0|0|23.0|20.1|374.3
191631474|0.150|6.0|0|23.0|22.7|373.5
191643974|0.150|6.0|0|23.3|24.9|372.2
191656474|0.150|6.0|0|23.4|24.1|373.3
191668974|0.150|6.0|0|23.1|21.2|374.5
191681474|0.150|6.0|0|23.1|23.0|373.1
191693974|0.150|6.0|0|23.4|25.4|372.1
191706474|0.150|6.0|0|23.4|23.4|373.8
191718974|0.150|6.0|0|23.0|20.7|374.5
191731474|0.150|6.0|0|23.0|23.3|373.1
191743974|0.150|6.0|0|23.5|26.0|371.8
191756474|0.150|6.0|0|23.5|23.6|373.7
191768974|0.150|6.0|0|23.3|21.8|374.1
191781474|0.150|6.0|0|23.4|24.6|371.9
191793974|0.150|6.0|0|23.8|25.7|371.8
191806474|0.150|6.0|0|23.7|23.2|374.3
191818974|0.150|6.0|0|23.4|21.4|374.6
191831474|0.150|6.0|0|23.2|22.5|373.4
191843974|0.150|6.0|0|23.6|25.9|372.3
191856474|0.150|6.0|0|23.7|23.8|373.6
191868974|0.150|6.0|0|23.2|20.7|374.4
191881474|0.150|6.0|0|23.3|23.6|372.7
191893974|0.150|6.0|0|23.6|25.4|371.6
191906474|0.150|6.0|0|23.5|23.3|373.6
191918974|0.150|6.0|0|23.0|19.8|374.7
191931474|0.150|6.0|0|23.1|23.8|372.7
191943974|0.150|6.0|0|23.5|25.8|371.6
191956474|0.150|6.0|0|23.7|24.5|373.1
191968974|0.150|6.0|0|23.1|19.6|374.1
191981474|0.150|6.0|0|23.1|23.4|373.1
191993974|0.150|6.0|0|23.4|24.8|372.2
192006474|0.150|6.0|0|23.4|23.8|373.3
192018974|0.150|6.0|0|23.0|20.4|374.9
192031474|0.150|6.0|0|22.9|22.8|373.4
192043974|0.150|6.0|0|23.3|25.4|372.1
192056474|0.150|6.0|0|23.4|23.6|373.6
192068974|0.150|6.0|0|23.0|21.1|374.3
192081474|0.150|6.0|0|23.1|23.3|372.8
192093974|0.150|6.0|0|23.5|25.8|371.4
192106474|0.150|6.0|0|23.5|23.9|373.5
192118974|0.150|6.0|0|23.0|20.2|374.6
192131474|0.150|6.0|0|23.1|23.3|372.6
192143974|0.150|6.0|0|23.5|25.8|371.5
192156474|0.150|6.0|0|23.6|24.1|373.8
192168974|0.150|6.0|0|23.2|20.8|374.2
192181474|0.150|6.0|0|23.3|24.0|373.0
192193974|0.150|6.0|0|23.6|25.3|371.6
192206474|0.150|6.0|0|23.7|24.0|373.3
192218974|0.150|6.0|0|23.1|20.1|374.4
192231474|0.150|6.0|0|23.2|23.8|372.5
192243974|0.150|6.0|0|23.6|25.9|371.6
192256474|0.150|6.0|0|23.6|23.6|373.1
192268974|0.150|6.0|0|23.2|20.8|373.8
192281474|0.150|6.0|0|23.2|23.3|372.8
192293974|0.150|6.0|0|23.6|25.9|371.6
192306474|0.150|6.0|0|23.5|23.1|373.9
192318974|0.150|6.0|0|23.1|20.6|374.4
192331474|0.150|6.0|0|23.1|23.1|372.9
192343974|0.150|6.0|0|23.5|25.6|371.1
192356474|0.150|6.0|0|23.5|23.4|373.3
192368974|0.150|6.0|0|23.1|21.2|373.6
192381474|0.150|6.0|0|23.2|23.4|372.8
192393974|0.150|6.0|0|23.6|26.4|370.8
192406474|0.150|6.0|0|23.6|23.2|373.3
192418974|0.150|6.0|0|23.1|20.6|374.3
192431474|0.150|6.0|0|23.0|22.3|373.1
192443974|0.150|6.0|0|23.4|25.4|371.9
192456474|0.150|6.0|0|23.4|23.5|373.8
192468974|0.150|6.0|0|23.2|22.0|373.7
192481474|0.150|6.0|0|23.0|21.9|373.3
192493974|0.150|6.0|0|23.5|26.5|371.7
192506474|0.150|6.0|0|23.4|23.0|373.9
192518974|0.150|6.0|0|23.1|20.9|374.3
192531474|0.150|6.0|0|22.9|22.3|373.5
192543974|0.150|6.0|0|23.4|25.8|371.8
192556474|0.150|6.0|0|23.3|23.1|374.1
192568974|0.150|6.0|0|23.0|21.3|374.1
192581474|0.150|6.0|0|23.1|23.3|373.1
192593974|0.150|6.0|0|23.5|25.8|371.2
192606474|0.150|6.0|0|23.6|24.4|372.6
192618974|0.150|6.0|0|23.1|20.1|374.3
192631474|0.150|6.0|0|23.0|22.6|372.9
192643974|0.150|6.0|0|23.4|25.4|371.5
192656474|0.150|6.0|0|23.4|23.6|373.5
192668974|0.150|6.0|0|23.1|21.3|374.1
192681474|0.150|6.0|0|23.0|22.6|373.0
192693974|0.150|6.0|0|23.3|24.9|371.8
192706474|0.150|6.0|0|23.4|24.3|373.0
192718974|0.150|6.0|0|23.0|20.3|374.6
192731474|0.150|6.0|0|23.0|22.9|373.2
192743974|0.150|6.0|0|23.4|25.6|371.4
192756474|0.150|6.0|0|23.4|23.7|372.9
192768974|0.150|6.0|0|23.0|20.8|373.8
192781474|0.150|6.0|0|23.0|22.8|372.8
192793974|0.150|6.0|0|23.3|25.0|371.9
192806474|0.150|6.0|0|23.3|23.4|373.4
192818974|0.150|6.0|0|22.9|20.3|374.5
192831474|0.150|6.0|0|22.9|22.9|372.7
192843974|0.150|6.0|0|23.3|25.7|371.4
192856474|0.150|6.0|0|23.3|23.6|372.8
192868974|0.150|6.0|0|22.9|20.6|374.1
192881474|0.150|6.0|0|22.9|22.8|373.3
192893974|0.150|6.0|0|23.2|25.2|372.2
192906474|0.150|6.0|0|23.5|24.8|372.8
192918974|0.150|6.0|0|23.0|20.4|374.3
192931474|0.150|6.0|0|22.9|22.2|373.1
192943974|0.150|6.0|0|23.2|25.0|371.9
192956474|0.150|6.0|0|23.2|22.9|373.9
192968974|0.150|6.0|0|22.7|20.4|374.1
192981474|0.150|6.0|0|22.7|22.1|373.4
192993974|0.150|6.0|0|23.2|26.1|370.9
193006474|0.150|6.0|0|23.3|24.3|373.3
193018974|0.150|6.0|0|22.8|19.8|374.7
193031474|0.150|6.0|0|22.7|22.3|373.6
193043974|0.150|6.0|0|23.3|26.3|370.6
193056474|0.150|6.0|0|23.4|24.1|373.6
193068974|0.150|6.0|0|23.0|20.9|374.1
193081474|0.150|6.0|0|22.9|22.6|373.3
193093974|0.150|6.0|0|23.5|26.4|371.1
193106474|0.150|6.0|0|23.6|24.4|373.1
193118974|0.150|6.0|0|23.2|20.7|374.1
